loannumber,loanamount,totaldue,termdays,days_to_approve,interest_amount,interest_rate,is_referred,approval_month,approval_year,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,age,prev_num_loans,prev_avg_loan_amount,prev_total_borrowed,prev_avg_totaldue,prev_avg_termdays,prev_max_loannumber,prev_avg_interest_rate,prev_avg_loan_duration,prev_late_payments,prev_late_payment_rate,prev_avg_days_to_repay,target
12,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,46.0,11.0,18181.81818181818,200000.0,22081.81818181818,30.0,11.0,0.2290909090909091,29.454545454545453,3.0,0.2727272727272727,-0.9090909090909091,0
2,15000.0,17250.0,30,0,2250.0,0.15,0,7,2017,Savings,3.885298,7.3207003,GT Bank,Permanent,Graduate,33.0,,,,,,,,,,,,0
7,20000.0,22250.0,15,0,2250.0,0.1125,0,7,2017,Other,11.1393496,10.2920413,EcoBank,Permanent,,34.0,6.0,10000.0,60000.0,11750.0,17.5,6.0,0.17500000000000002,18.166666666666668,1.0,0.16666666666666666,0.8333333333333334,0
3,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Savings,3.9857698,7.4917081,First Bank,Permanent,,41.0,2.0,10000.0,20000.0,12250.0,22.5,2.0,0.22499999999999998,31.5,2.0,1.0,7.5,0
9,40000.0,44000.0,30,0,4000.0,0.1,0,7,2017,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,32.0,8.0,18750.0,150000.0,23550.0,37.5,8.0,0.25875,27.0,0.0,0.0,-3.125,0
8,30000.0,39000.0,60,0,9000.0,0.3,0,7,2017,,,,,,,,7.0,14285.714285714286,100000.0,17828.571428571428,30.0,7.0,0.26285714285714284,24.857142857142858,1.0,0.14285714285714285,-5.428571428571429,0
3,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.2594445,6.5570112,GT Bank,Permanent,,29.0,2.0,10000.0,20000.0,12250.0,22.5,2.0,0.22499999999999998,19.5,0.0,0.0,-2.5,0
10,30000.0,34500.0,30,0,4500.0,0.15,0,7,2017,Savings,6.1780556,5.4257996,First Bank,,,31.0,9.0,20000.0,180000.0,23000.0,23.333333333333332,9.0,0.1585185185185185,22.11111111111111,0.0,0.0,-1.0,0
4,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Savings,3.3965242,6.6279429,GT Bank,Permanent,,31.0,3.0,10000.0,30000.0,11500.0,15.0,3.0,0.15,17.666666666666668,1.0,0.3333333333333333,1.3333333333333333,0
2,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Savings,3.2858723,6.5824439,Access Bank,Unemployed,,34.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,12.0,0.0,0.0,-3.0,0
2,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,7.1233193,4.8834997,EcoBank,Permanent,,35.0,1.0,10000.0,10000.0,11500.0,15.0,1.0,0.15,13.0,0.0,0.0,-2.0,0
3,10000.0,13000.0,30,0,3000.0,0.3,0,7,2017,Savings,3.8210848,7.3326277,GT Bank,Permanent,,30.0,2.0,10000.0,20000.0,12250.0,22.5,2.0,0.22499999999999998,23.0,1.0,0.5,0.0,1
2,10000.0,11500.0,15,0,1500.0,0.15,0,7,2017,Savings,3.1727935,6.6832653,First Bank,,,53.0,1.0,10000.0,10000.0,13000.0,30.0,1.0,0.3,27.0,0.0,0.0,-3.0,0
11,40000.0,44000.0,30,0,4000.0,0.1,0,7,2017,Other,3.3022556,6.636865,UBA,Permanent,,41.0,10.0,24000.0,240000.0,27720.0,28.5,10.0,0.17650000000000002,26.6,1.0,0.1,-1.5,0
13,40000.0,44000.0,30,0,4000.0,0.1,0,7,2017,Other,3.3526543,6.456209,First Bank,Self-Employed,,39.0,12.0,21666.666666666668,260000.0,24575.0,22.5,12.0,0.14375000000000002,21.5,0.0,0.0,-0.6666666666666666,0
